image_path,caption
/home/neemias/perceptsent/data/1sGjgwxWrsMDZSMTWZkJQjTYV4-jT7oy5.jpg,"This image is a garden with various plants, including tulips and other flowers. The overall sentiment of the image is Positive."
/home/neemias/perceptsent/data/1BhIkrf3HWatQFG7KxJK7MZ1oWbUczaar.jpg,"Positive. The image shows a group of people standing outside, which suggests that they are enjoying the outdoors and spending time together. The fact that they are lined up in a row also suggests order and organization, which is a positive trait."
/home/neemias/perceptsent/data/15LVGeXllPyPe1jicnPTPl6kbBYJ5lZh8.jpg,"This image is a photograph of an open, wooden-beamed attic with a wooden floor and no furniture. The lighting in the room is dim, and there are no windows or other sources of natural light. The overall sentiment of this image is neutral."
/home/neemias/perceptsent/data/11_yZVpq48fA-jchrZO_sTtUKQejXd-te.jpg,"This image is a car with a broken windshield. It appears to be a luxury car, possibly a Mercedes or BMW, as it has a black exterior and shiny chrome rims. The windshield is cracked and shattered, with several large pieces of glass scattered on the ground around the car. There are no people visible in the image, but there is a streetlight on the left side of the frame that illuminates the scene. Overall, this image is slightly negative, as it depicts a damaged vehicle that has likely been involved in an accident."
/home/neemias/perceptsent/data/1gnbr9y1VBnFSqyqxLU-W5WrsN6DejtdG.jpg,"This image is a scenic view of a body of water with mountains in the background. The sky appears to be cloudy and overcast, which gives the scene a neutral sentiment. The water looks calm and peaceful, but the mountains in the background give it a sense of grandeur and awe. Overall, this image evokes a slightly positive sentiment."
/home/neemias/perceptsent/data/1UMwl8aaZiEf0O6iswA4UXU_ejf1DqSlt.jpg,"This image appears to be of a row of trees lining a sidewalk in front of a building. The trees are tall and lush, with thick branches and leaves that stretch up towards the sky. The trunks of the trees are straight and narrow, and they appear to be well-maintained. There is a sidewalk running alongside the trees, and there are several parked cars on the street. The overall atmosphere of the image is positive, as the trees provide shade and beauty to the area."
/home/neemias/perceptsent/data/1CqZ0KGu-OncGJug1v7TDfnME9frUbdx0.jpg,"Positive. The image shows a peaceful and serene scene with a clear blue sky, green grass, and a small pond surrounded by trees. The reflection of the clouds in the water adds a touch of beauty to the scene. It is a positive image that evokes feelings of calmness and tranquility."
/home/neemias/perceptsent/data/1-fk2nLD_OQzzGqA-79kg-VnvOq9O2y3Z.jpg,"Positive. The image shows a busy city street with people walking, driving and crossing the road. The buildings in the background are modern and tall, indicating progress and development. The overall atmosphere is lively and energetic."
/home/neemias/perceptsent/data/1X_Dvyjd5jChgYB1YWJ-Di5YDTOJniI1j.jpg,This image is a ferris wheel with several yellow and white cars on it. The sky is cloudy and there are no people in the image. It appears to be an amusement park ride.
/home/neemias/perceptsent/data/1mIWAfgRiuNDehbZ3YeQxMjpamdtaDACc.jpg,"This image appears to be a graffiti mural on a wall. It is difficult to determine the sentiment without more context. However, based on the colors used and the overall appearance of the mural, it could be classified as SlightlyPositive."
